haplo.freq,locus1,locus2,allele1,allele2
0.07435,A,C,01:01,07:01
0.05002,A,C,02:01,03:04
0.04798,A,C,03:01,07:02
0.04505,A,C,02:01,05:01
0.03341,A,C,03:01,04:01
0.02381,A,C,01:01,06:02
0.0214,A,C,02:01,07:02
0.02085,A,C,24:02,07:02
0.0206,A,C,11:01,04:01
0.01655,A,C,29:02,16:01
0.01546,A,C,02:01,02:02
0.01487,A,C,25:01,12:03
0.01473,A,C,24:02,03:03
0.01382,A,C,02:01,07:01
0.01352,A,C,02:01,01:02
0.01299,A,C,11:01,03:03
0.01249,A,C,03:01,02:02
0.01172,A,C,24:02,04:01
0.01167,A,C,01:01,07:02
0.01166,A,C,11:01,07:01
0.01157,A,C,31:01,03:04
0.01156,A,C,11:01,01:02
0.01145,A,C,02:05,07:01
0.01052,A,C,02:01,12:03
0.01032,A,C,01:01,05:01
0.00997,A,C,02:01,06:02
0.00987,A,C,26:01,12:03
0.00939,A,C,03:01,08:02
0.00926,A,C,24:02,06:02
0.00922,A,C,23:01,07:01
0.00837,A,C,02:01,16:01
0.00831,A,C,33:01,08:02
0.00828,A,C,01:01,03:03
0.00825,A,C,30:01,06:02
0.00822,A,C,23:01,04:01
0.00817,A,C,02:01,14:02
0.0079,A,C,68:01,04:01
0.00735,A,C,68:02,04:01
0.00697,A,C,26:01,07:02
0.00696,A,C,68:01,03:04
0.00664,A,C,33:01,06:02
0.00664,A,C,03:01,15:02
0.00662,A,C,03:01,01:02
0.00661,A,C,31:01,15:02
0.0066,A,C,68:01,07:04
0.00647,A,C,68:01,07:02
0.00641,A,C,02:01,04:01
0.00583,A,C,31:01,07:02
0.0055,A,C,24:02,07:01
0.00537,A,C,02:01,03:03
0.00516,A,C,26:01,07:01
0.00512,A,C,32:01,04:01
0.00498,A,C,68:02,08:02
0.00498,A,C,24:02,17:01
0.00486,A,C,03:01,07:01
0.00481,A,C,33:01,04:01
0.00474,A,C,68:01,03:03
0.00469,A,C,32:01,03:04
0.00469,A,C,01:01,01:02
0.00415,A,C,23:01,07:02
0.00413,A,C,24:02,02:02
0.00383,A,C,30:02,04:01
0.00378,A,C,03:01,03:04
0.00376,A,C,01:01,12:03
0.00367,A,C,32:01,07:02
0.00354,A,C,01:01,02:02
0.0035,A,C,33:01,07:01
0.00338,A,C,30:01,04:01
0.00335,A,C,31:01,05:01
0.00334,A,C,32:01,02:02
0.00332,A,C,29:02,06:02
0.00332,A,C,29:02,12:03
0.00332,A,C,66:01,06:02
0.00332,A,C,32:01,16:02
0.00332,A,C,68:01,02:02
0.00332,A,C,24:02,03:02
0.00332,A,C,02:06,04:01
0.00332,A,C,68:01,08:01
0.00332,A,C,30:01,17:01
0.00332,A,C,30:02,05:01
0.00332,A,C,33:01,16:01
0.00286,A,C,02:01,07:04
0.00273,A,C,03:01,06:02
0.00262,A,C,11:01,03:04
0.00261,A,C,25:01,05:01
0.0025,A,C,31:01,06:02
0.00249,A,C,32:01,12:03
0.00223,A,C,30:02,07:01
0.00207,A,C,34:02,07:02
0.00206,A,C,03:01,03:03
0.00201,A,C,32:01,06:02
0.00194,A,C,32:01,05:01
0.00192,A,C,24:02,12:03
